id,title,kind,headline,plain
claim_cache_slough_upstream_escape,Cache Slough upstream lead sweep finds one new escape,positive,dAP +0.1075 at lead 1d,A systematic USGS-IV upstream/downstream sweep found one new turbidity advection escape beyond the Russian River positive control.
claim_wet_tail_driver_skill,Drivers matter on wet-tail bacteria extremes,positive,wet-tail AP gain +0.0596,"Although drivers do not improve the pooled mean, they add strong, CI-separated skill on the wet/storm high-consequence tail."
claim_hypoxia_gru_sequence_positive,GRU sequence model beats HGBT at 14-28 day hypoxia lead,positive,14d dAP +0.0281; 28d +0.0327,A genuine temporal GRU extracts multi-week hypoxia lead dynamics that the stratification HGBT misses at 14 and 28 days.
claim_hypoxia_onset_forecast,Hypoxia onset forecast beats better naive across horizons,positive,7d AP 0.835 vs naive 0.7474,"On the currently-non-hypoxic origins, the stratification model beats the better seasonal/DO-proximity naive for 3-28 day onset windows."
claim_tokyo_shadow_lakehouse_positives,Tokyo Bay shadow probe finds multiple positive physical targets,positive,7 positive probe rows,"The Tokyo Bay lakehouse/shadow probe finds positive signals for haline stratification, surface chlorophyll, and low-bottom-oxygen targets."
claim_tokyo_gpu_bottom_chl_positive,Tokyo Bay GPU miner finds bottom-chlorophyll signal,positive,high_bottom_chl_p90 neural AP 0.4195,A GRU temporal multi-target classifier found a positive high-bottom-chlorophyll target signal in the Tokyo Bay test bed.
claim_mcye_alberta_definitive_replication,mcyE genotype-to-toxin effect definitively replicates in Alberta,replication,rho 0.6824 · n=1461 · 55 lakes,The toxic-genotype signal predicts microcystin beyond biomass across 55 lakes and 5 years in an independent Alberta bloom-monitoring corpus.
claim_mcye_national_replication,mcyE genotype-to-toxin effect replicates nationally,replication,rho 0.4423 · perm-p 0.0024,A national WQP paired corpus confirms mcyE absolute predicts microcystin beyond biomass across independent lakes and years.
null_national_microcystin_driver,National microcystin driver-null holds,null,met dAP -0.007 LOYO,Adding antecedent meteorology to history+season does not improve national in-situ microcystin toxin forecasts.
claim_da_toxic_onset_ci_separated,Domoic-acid toxic-onset forecast clears the scoped gate,claim,onset AP 0.1347 vs seasonal_naive 0.0259,The updated domoic-acid result is strongest on the decision-relevant toxic-onset slice: prior-clean pier visits where persistence is degenerate.
claim_cyano_onset_latitude_law_scoped,Cyano onset has a scoped cold-start phenology law,positive,"lat-quad skill 0.2018 CI [0.0442, 0.3151]","Latitude/quadratic geography gives a real cold-start cyanobacteria bloom-onset timing prior under held-out state, lat-band, and year tests."
null_interlingua_cyano_daily_refutation,Daily freshwater cyano interlingua still does not beat seasonality,null,pi AP 0.4155 vs calendar 0.4242,Daily meteorology narrows the freshwater cyano interlingua gap but does not flip the prior null: physics π features do not separate from calendar or persistence on held-out lakes.
null_interlingua_eu_resolution_boundary,EU annual bathing-water transfer exposes an interlingua boundary,null,BOUNDARY-EU-specific,"The donor π signal survives annual coarsening, but it still does not outrank calendar plus site-memory on held-out EU coasts, so the manifold does not generalize to annual EU bathing-water classes."
null_ddpcr_target_redefinition_artifact,ddPCR-positive/culture-safe days are mostly a persistence artifact,null,raw lift 0.2121; controlled dAUC 0.0147,"Same-day ddPCR positives among culture-safe San Diego beach-days have raw forward culture-exceedance lift, but ddPCR does not add clean signal after full culture-memory controls."
null_sog_central_relief_onset_underpowered,SoG Central relief-onset transfer auto-rejects as underpowered,null,4 events < gate 8,The pre-registered Saanich-to-SoG relief-onset transfer test does not fit a model because SoG Central has too few locked-definition deep-oxygen relief onsets.
status_semantic_shadow_refresh_discovery_leads,"Semantic shadow refresh produced discovery leads, not claims",caveat,25 targets · 4632 correlations,"The universal shadow-lakehouse refresh found cross-domain correlations and temporal-holdout model lifts, but they remain discovery leads until independently reproduced."
claim_tsunami_halfduration_warning_screen,Rupture half-duration can reduce tsunami false alarms at fixed recall,positive,39.1% fewer false alarms at 80% recall,"Adding rupture half-duration to magnitude+depth reduces false alarms in the NOAA tsunami label screen at 80% and 90% fixed recall, but not at 95% recall."
claim_carte_numeric_shared_plane_benchmark,CARTE-style shared-plane benchmark adds bacteria ranking signal,positive,numeric-only AUC 0.7613 vs raw 0.7163,A CARTE-style tabular shared-plane benchmark improves held-out bacteria ranking over raw and fair-ID baselines in the small pilot/critic read.
claim_soil_moisture_gate_positive,Soil-moisture bacteria signal survives a shuffle null,caveat,observed dAP +0.0141 > null max 0.0074,"The soil-moisture feature lift is genuine under the source-gate permutation test, but later operational reads say it is mostly redundant with discharge."
claim_new_source_signal_gate_keeps,New-source bacteria gate has multiple KEEP candidates,positive,3 KEEP candidates; best dAP +0.0171,The new-source signal gate found several small but positive bacteria feature candidates before stricter operational redundancy checks.
status_findings_campaign_10h_rerun,10-hour findings campaign rerun is mostly complete,status,5 keep · 5 null/refutation · 0 pending,Fresh dry-onset outputs now synthesize into the final evidence ledger; no declared outputs are missing in the current ledger.
claim_findings_campaign_targeted_l2_keeps,Targeted bacteria L2 gate keeps residual signals,positive,"3 L2 KEEP: nbr_and_latlon, latlon, waves","The narrowed bacteria L2/L3 rerun keeps neighborhood-plus-location, location, and waves over the established FEATS+rain baseline."
null_findings_campaign_dry_onset_interaction,Dry-onset interaction scan finds only a weak inspect-before-ship hit,null,dAP +0.0054; 0 FWER survivors,"One discharge-by-precipitation interaction adds a small onset-slice AP lift in the tree A/B read, but the broader interaction screen does not clear the permutation family-wise error gate."
null_findings_campaign_dry_onset_symbolic,Dry-onset symbolic search stays null after FDR,null,"1,200,000 formulas · 0 FDR survivors","The symbolic rerun found training-skill formulas, but none survived out-of-time onset residual FDR, so it does not create a new bacteria driver."
claim_serendipity_couplings_supported,Cross-domain serendipity couplings have two supported rows,positive,2 supported couplings,The gated cross-domain search found two supported couplings over target memory+season baselines.
status_h1_trust_index,H1 trust index tracks promoted claims and nulls,status,57 signals · 43 experiments,"The trust-layer index is the broader source that the public page was missing: it joins promoted claims, logged nulls, and frozen headline integrity."
null_estate_gpu_signal_search,Estate-wide GPU signal search finds no new bacteria carrier,null,"474,825 interactions + 3M formulas + knockoffs: zero shippable survivors",A large GPU search over nonlinear interactions and symbolic forms did not find a new bacteria signal beyond the frozen baseline.
null_erie_loading_driver_break,Western Lake Erie loading does not break the microcystin driver-null,null,loading dAP -0.028; national met dAP -0.007,"Even in the canonical nutrient-driven Erie system, tributary loading does not add station-level microcystin forecast skill once history and season are controlled."
